year,month,day,epbound_1,epbound_2,epbound_3,epbound_6,epbound_12,date,t
1996,1,4,0.016170298856987095,0.015509066485213387,0.015923806857206263,0.016905071452383177,0.01859968130075347,1996-01-04,1
1996,1,5,0.015416088647325521,0.015297912558433586,0.015806472671658214,0.017121553891132194,0.01837075635158044,1996-01-05,2
1996,1,8,0.014766278505187485,0.014941298347065098,0.015772984926882824,0.017080578427118326,0.018393696036220798,1996-01-08,3
1996,1,9,0.021878021842008925,0.01774024828554015,0.016952819053304365,0.016952027623737143,0.018435802722457952,1996-01-09,4
1996,1,10,0.022726837947211066,0.019973367872970164,0.019121906676615695,0.01880838476205886,0.02091914810390274,1996-01-10,5
1996,1,11,0.017875489950298907,0.01754175208190211,0.017026180902481917,0.016587602875359774,0.01782278932631379,1996-01-11,6
1996,1,12,0.01732005125470269,0.01714533604376036,0.016600837320756182,0.016285141939837343,0.018386819610454064,1996-01-12,7
1996,1,15,0.020606602971937567,0.018732915167139236,0.018454426187006462,0.018475289202815933,0.020952510695723684,1996-01-15,8
1996,1,16,0.01733125042590579,0.016715028188540253,0.016479752861518888,0.01656962532239753,0.01812569933296115,1996-01-16,9
1996,1,17,0.017351361302063075,0.016671809029909102,0.016546525839897717,0.016722984504773383,0.018302550776245794,1996-01-17,10
1996,1,18,0.016648943941581857,0.016625348499487786,0.016397259225911693,0.01654995602023607,0.01785904728125117,1996-01-18,11
1996,1,19,0.014187702991153357,0.015075989051780913,0.015404265115509224,0.016063413597386052,0.01779592343157436,1996-01-19,12
1996,1,22,0.01585466359977671,0.01444848789072249,0.010889712291640348,0.01652651309911846,0.01768125326941015,1996-01-22,13
1996,1,23,0.01589980463639406,0.015120788520036498,0.01373967457982956,0.016770296920282514,0.017797811330824226,1996-01-23,14
1996,1,24,0.013870322408673755,0.0143529220115838,0.014176039482649958,0.016465891891427022,0.017722948175870005,1996-01-24,15
1996,1,25,0.014582644428598865,0.014107790983928517,0.013682269839829161,0.01561366733884911,0.017255077101660996,1996-01-25,16
1996,1,26,0.012535483841317469,0.013028511533327122,0.013266624086462378,0.015485738771751691,0.017407390723055947,1996-01-26,17
1996,1,29,0.013262420440384406,0.01316588917249712,0.013222421724087753,0.01560914980180573,0.01744059001898414,1996-01-29,18
1996,1,30,0.013291313842423262,0.011871904932854194,0.011397309598952155,0.013436743430133954,0.014843620809089485,1996-01-30,19
1996,1,31,0.013331594318646015,0.011306956302432863,0.01072441931981578,0.013048381605881683,0.014900675117421106,1996-01-31,20
1996,2,1,0.01344291846636261,0.011622369884963405,0.011142575945921489,0.01309745951877118,0.014655035644078026,1996-02-01,21
1996,2,2,0.015068860807890086,0.013354223919627175,0.012766246908474601,0.013721976379622474,0.01509691865744104,1996-02-02,22
1996,2,5,0.01591183297862977,0.014239856170579112,0.013711500644624078,0.013964409132379549,0.015057810913404305,1996-02-05,23
