date,lb_m_1,lb_m_3,lb_m_6,lb_m_12,lb_m_orig_1,lb_m_orig_3,lb_m_orig_6,lb_m_orig_12,lb_cylr_1,lb_cylr_3,lb_cylr_6,lb_cylr_12,lb_cylr_orig_1,lb_cylr_orig_3,lb_cylr_orig_6,lb_cylr_orig_12
1990-01-02,3.050390076563292,2.737820893129072,2.731891450622275,2.731891450622275,,,,,3.6756592570944906,3.512409911200053,3.7262477018598132,3.7262477018598132,,,,
1990-01-03,3.2777827953328136,2.9062364292664933,2.8101452212708127,2.8101452212708127,,,,,3.875499493422627,3.6715938705066833,3.763462256992171,3.763462256992171,,,,
1990-01-04,3.6347100717912912,3.1308424332829494,2.9408011481418286,2.9408011481418286,,,,,4.269451481969808,3.892975256599175,3.858687545441402,3.858687545441402,,,,
1990-01-05,4.176197206475612,3.5339826121933626,3.225894406857678,3.225894406857678,,,,,4.953944030803749,4.384435307900005,4.20317352932645,4.20317352932645,,,,
1990-01-08,4.174062722564183,3.334129298199193,3.0982818594396333,3.0982818594396333,,,,,4.940754059766781,4.148978515535999,4.031910532009361,4.031910532009361,,,,
1990-01-09,4.859552273233027,3.7410384766650955,3.458893902225087,3.458893902225087,,,,,5.683887433557102,4.640887924398688,4.493045627101888,4.493045627101888,,,,
1990-01-10,5.006065751514899,3.783845860836225,3.5340364394636996,3.5340364394636996,,,,,5.834380590372462,4.634362579487964,4.508068415077826,4.508068415077826,,,,
1990-01-11,3.0633927465371484,3.635068795705445,3.441310985733336,3.441310985733336,,,,,3.206380225954393,4.471255957283521,4.420324700484992,4.420324700484992,,,,
1990-01-12,7.621866466233969,4.616730272087013,4.080561629898362,4.080561629898362,,,,,9.011764289986129,5.667652580889327,5.197214223850423,5.197214223850423,,,,
1990-01-15,8.302921972145084,4.660507979899715,4.182780604974209,4.182780604974209,,,,,9.544974220898098,5.630932434490868,5.2379108536995265,5.2379108536995265,,,,
1990-01-16,6.758832771996949,4.203774633876546,3.8620645737223542,3.8620645737223542,,,,,7.9031235381134515,5.120797998915392,4.8761616178462805,4.8761616178462805,,,,
1990-01-17,5.484667453646578,4.614504326553193,4.401804798295413,4.401804798295413,,,,,6.4788296054367995,5.622483398711056,5.557276906965754,5.557276906965754,,,,
1990-01-18,5.374020227231925,4.470060328892959,4.207869287619641,4.207869287619641,,,,,6.529783070315748,5.445891328207903,5.306973929432876,5.306973929432876,,,,
1990-01-19,4.518616497088838,4.161457731120891,4.031859056417357,4.031859056417357,,,,,5.349959125526126,5.085819290535913,5.095705754428105,5.095705754428105,,,,
1990-01-22,7.6744051646388804,5.296220529333987,4.926578442459839,4.926578442459839,,,,,9.005491623288114,6.427738573718635,6.169764368239869,6.169764368239869,,,,
1990-01-23,6.526763351275821,4.670199095294817,4.222927192976731,4.222927192976731,,,,,7.726734767788927,5.8148910357452985,5.321802940617446,5.321802940617446,,,,
1990-01-24,6.1707330388074375,4.595225434133741,4.093010388075047,4.093010388075047,,,,,7.432318919740596,5.633131636148093,5.048009925815142,5.048009925815142,,,,
1990-01-25,6.661029000872528,4.7663220656675005,4.235518629026832,4.235518629026832,,,,,7.972443604791065,5.745049612978927,5.136418781531687,5.136418781531687,,,,
1990-01-26,6.931352593878156,4.766365355175219,4.102713087254255,4.102713087254255,,,,,8.252880381461072,5.758620142452351,4.961055689742641,4.961055689742641,,,,
1990-01-29,6.81960405858671,5.011469258279624,4.476875749023815,4.476875749023815,,,,,8.140078601592045,6.060731524106432,5.438580299249449,5.438580299249449,,,,
1990-01-30,7.011259817783019,5.195027870841522,4.604632616903541,4.604632616903541,,,,,8.232843838387149,6.205338898724746,5.506790780265246,5.506790780265246,,,,
1990-01-31,5.708625369021253,4.411081386507713,3.980476310913538,3.980476310913538,,,,,6.862829391106466,5.361815421733163,4.852005532343281,4.852005532343281,,,,
1990-02-01,5.607159486905767,4.420517008767663,4.024068529127279,4.024068529127279,,,,,6.739323593899282,5.353980060601631,4.879934056289394,4.879934056289394,,,,
1990-02-02,5.305979963130818,4.273311353876714,3.9256571449175217,3.9256571449175217,,,,,6.420177602140201,5.1995221737963035,4.7844989873043495,4.7844989873043495,,,,
1990-02-05,5.316006473106752,4.213478831881484,3.895260915249076,3.895260915249076,,,,,6.360281474303867,5.136363045881486,4.75482508747882,4.75482508747882,,,,
1990-02-06,5.720133881107315,4.333042399736298,4.004305532548701,4.004305532548701,,,,,6.922494809075477,5.285640635380516,4.897816475906609,4.897816475906609,,,,
1990-02-07,5.181837310103943,4.1572176031966475,3.9101162741764868,3.9101162741764868,,,,,6.202310987176989,5.091449020668361,4.807065413838563,4.807065413838563,,,,
1990-02-08,5.092666184011726,4.127773562373087,3.9105500391938253,3.9105500391938253,,,,,6.099907589440575,5.053510203410483,4.806050791357392,4.806050791357392,,,,
1990-02-09,5.0967754908662695,4.144773638153507,3.9428264460204523,3.9428264460204523,,,,,6.189989825819361,5.095554420063209,4.8557511571166545,4.8557511571166545,,,,
1990-02-12,5.329246513436883,4.344736261802328,4.188451527459661,4.188451527459661,,,,,6.429209725059999,5.326548209987003,5.15150771480988,5.15150771480988,,,,
1990-02-13,5.156349913423629,4.200133916844233,4.058591431227771,4.058591431227771,,,,,6.3434497998337225,5.1599581268524535,4.9847734889679245,4.9847734889679245,,,,
1990-02-14,4.805057066243347,4.065308321307104,3.963359063877714,3.963359063877714,,,,,5.8334896352271,4.9942570107475985,4.878597277004383,4.878597277004383,,,,
