date,f_mktrf1,f_mktrf3,f_mktrf6,f_mktrf12,lb_m_1,lb_m_3,lb_m_6,lb_m_12,lb_m_orig_1,lb_m_orig_3,lb_m_orig_6,lb_m_orig_12,lb_cylr_1,lb_cylr_3,lb_cylr_6,lb_cylr_12,lb_cylr_orig_1,lb_cylr_orig_3,lb_cylr_orig_6,lb_cylr_orig_12,dp,ep,bm,tbl,lty_spread_plus1,dfy,svar,ntis_plus1,infl_plus1
1990-01-02,-106.53100327711851,-26.74183221123183,-3.9773754280957085,-11.797805915746483,3.050390076563292,2.737820893129072,2.731891450622275,2.731891450622275,,,,,3.6756592570944906,3.512409911200053,3.726247701859813,3.726247701859813,,,,,,,,,,,,,
1990-01-03,-104.92909989475363,-20.5552867787651,-3.226036797854137,-12.575348470586,3.2777827953328136,2.9062364292664933,2.8101452212708127,2.8101452212708127,,,,,3.875499493422627,3.6715938705066833,3.763462256992171,3.763462256992171,,,,,,,,,,,,,
1990-01-04,-88.90999395285428,-20.24485099479478,-4.035849925667456,-13.061157628327013,3.6347100717912912,3.1308424332829494,2.9408011481418286,2.9408011481418286,,,,,4.269451481969808,3.892975256599175,3.858687545441402,3.858687545441402,,,,,,,,,,,,,
1990-01-05,-73.5438911867639,-16.655177067639528,-0.5154709492967591,-12.400643016455836,4.176197206475612,3.533982612193362,3.225894406857678,3.225894406857678,,,,,4.953944030803749,4.384435307900005,4.20317352932645,4.20317352932645,,,,,,,,,,,,,
1990-01-08,-86.2249052177389,-19.207267474766752,-0.9011561716145478,-14.327297106212733,4.174062722564183,3.334129298199193,3.0982818594396333,3.0982818594396333,,,,,4.940754059766781,4.148978515535999,4.031910532009361,4.031910532009361,,,,,,,,,,,,,
1990-01-09,-58.572828752103234,-13.359293965445085,-0.08422258640676805,-13.445973570155179,4.859552273233027,3.741038476665096,3.458893902225087,3.458893902225087,,,,,5.683887433557102,4.640887924398688,4.493045627101888,4.493045627101888,,,,,,,,,,,,,
1990-01-10,-53.73402188150038,-10.114045988435949,3.712393833591676,-13.845982725159356,5.006065751514899,3.783845860836225,3.5340364394637,3.5340364394637,,,,,5.834380590372462,4.634362579487964,4.508068415077826,4.508068415077826,,,,,,,,,,,,,
1990-01-11,-55.183710536657586,-11.68021899355045,5.32527548713122,-13.23625661940615,3.0633927465371484,3.635068795705445,3.441310985733336,3.441310985733336,,,,,3.206380225954393,4.471255957283521,4.420324700484992,4.420324700484992,,,,,,,,,,,,,
1990-01-12,-38.41806332826185,1.073570659469425,11.415834851295825,-10.95185526869129,7.621866466233969,4.616730272087013,4.080561629898362,4.080561629898362,,,,,9.011764289986129,5.667652580889327,5.197214223850423,5.197214223850423,,,,,,,,,,,,,
1990-01-15,-24.17816204794039,5.199950580938317,14.37740532174523,-10.870004484443275,8.302921972145084,4.660507979899715,4.182780604974209,4.182780604974209,,,,,9.544974220898098,5.630932434490868,5.237910853699527,5.237910853699527,,,,,,,,,,,,,
1990-01-16,-34.03359847994088,0.5712003758042705,11.187753637491982,-11.528779921295884,6.758832771996949,4.203774633876546,3.862064573722354,3.862064573722354,,,,,7.9031235381134515,5.120797998915392,4.8761616178462805,4.8761616178462805,,,,,,,,,,,,,
1990-01-17,-12.343018923386717,-0.22793672637648754,11.299685159678807,-9.898629200702846,5.484667453646578,4.614504326553193,4.401804798295413,4.401804798295413,,,,,6.4788296054368,5.622483398711056,5.557276906965754,5.557276906965754,,,,,,,,,,,,,
1990-01-18,-22.661150245567228,-4.387105577224215,11.404139545373093,-6.784705388219548,5.374020227231925,4.470060328892959,4.207869287619641,4.207869287619641,,,,,6.529783070315748,5.445891328207903,5.306973929432876,5.306973929432876,,,,,,,,,,,,,
1990-01-19,-42.73537791210087,-9.13474299895145,8.721762244347486,-5.901586884455979,4.518616497088838,4.161457731120891,4.031859056417357,4.031859056417357,,,,,5.349959125526126,5.085819290535913,5.095705754428105,5.095705754428105,,,,,,,,,,,,,
1990-01-22,-13.208571641059352,-3.43741014605099,10.367292116910676,-3.639509327039314,7.67440516463888,5.296220529333987,4.926578442459839,4.926578442459839,,,,,9.005491623288114,6.427738573718635,6.169764368239869,6.169764368239869,,,,,,,,,,,,,
1990-01-23,-21.938564454826313,-4.919093967582278,10.279284979868875,-4.588037339875939,6.526763351275821,4.670199095294817,4.222927192976731,4.222927192976731,,,,,7.726734767788927,5.8148910357452985,5.321802940617446,5.321802940617446,,,,,,,,,,,,,
1990-01-24,-25.394323551803044,-2.1318021287128452,11.407619247443312,-3.884512921268224,6.1707330388074375,4.595225434133741,4.093010388075047,4.093010388075047,,,,,7.432318919740596,5.633131636148093,5.048009925815142,5.048009925815142,,,,,,,,,,,,,
1990-01-25,7.050161788305509,4.299561778946703,13.563751666449253,-1.1928509769419282,6.661029000872528,4.7663220656675005,4.235518629026832,4.235518629026832,,,,,7.972443604791065,5.745049612978927,5.136418781531687,5.136418781531687,,,,,,,,,,,,,
1990-01-26,14.645982634594112,-0.16335185012228415,12.281727203188098,-0.7571561632027879,6.931352593878156,4.766365355175219,4.102713087254255,4.102713087254255,,,,,8.252880381461072,5.758620142452351,4.961055689742641,4.961055689742641,,,,,,,,,,,,,
1990-01-29,22.49786651371295,2.6239774292796447,13.890584994620614,-0.5900084584227083,6.81960405858671,5.011469258279624,4.476875749023815,4.476875749023815,,,,,8.140078601592045,6.060731524106432,5.438580299249449,5.438580299249449,,,,,,,,,,,,,
