date,f_mktrf1,f_mktrf3,f_mktrf6,f_mktrf12,lb_m_1,lb_m_3,lb_m_6,lb_m_12,lb_m_orig_1,lb_m_orig_3,lb_m_orig_6,lb_m_orig_12,lb_cylr_1,lb_cylr_3,lb_cylr_6,lb_cylr_12,lb_cylr_orig_1,lb_cylr_orig_3,lb_cylr_orig_6,lb_cylr_orig_12,dp,ep,bm,tbl,lty_spread_plus1,dfy,svar,ntis_plus1,infl_plus1
1990-01-31,22.239554541293494,2.6061832234382187,11.49392728742522,-0.24879322364003142,5.708625369021253,4.411081386507713,3.980476310913538,3.980476310913538,,,,,6.862829391106466,5.361815421733163,4.852005532343281,4.852005532343281,,,,,1.6144807011703497,2.3158802038965076,0.4149713959251739,0.0764,1.0101,0.00949999999999998,0.002892101061000001,0.986103210381114,1.0103092783505156
1990-02-28,27.482859069262577,30.387096623665233,-10.674104701789222,6.742989950172751,4.085535567286331,3.988584214877107,3.5805440537121265,3.5139151082312035,,,,,4.807104843519709,4.889675531186306,4.463544422869301,4.392425616292086,,,,,1.6138148619932462,2.289415631553715,0.40917308973261013,0.0774,1.0102,0.0092,0.0010085723230000001,0.9882707971882521,1.0047095761381475
1990-03-31,-32.11049564792656,17.014957464227276,-23.97940937448797,5.4788611620709915,3.5174548893679445,3.755032553967613,3.535835648908466,3.643484803725241,,,,,3.922211778321514,4.636584576368693,4.650098316921865,4.914923312268671,,,,,1.597625247271126,2.247159684099061,0.4713339563609768,0.079,1.0099,0.008400000000000019,0.001032253721,0.989708559796313,1.00546875
1990-04-30,106.79576203302261,24.993238326826095,-19.73281708159824,9.179982851990754,3.3278242854364786,3.742463152801903,3.883967740915976,3.970674482243188,,,,,3.690409548714263,4.561394878940947,4.932012125119636,5.126667061416121,,,,,1.6349899474102951,2.26808815897091,0.4802842560110811,0.07769999999999999,1.0147,0.008400000000000005,0.000966788808,0.9898507203243894,1.0015540015540016
1990-05-31,-15.633718228585503,-45.471530320395374,-27.62951417255084,3.6499861902898223,2.827727518829945,2.5213582751033634,2.6180194703181465,2.656578573842313,,,,,3.2165745816330547,3.1154687388986155,3.3657534830653604,3.4305794390722117,,,,,1.5569973872284502,2.1737202720833393,0.44356997351094674,0.0774,1.0109000000000001,0.009399999999999992,0.0013614737739999997,0.9977381888741003,1.0023273855702093
1990-06-30,-13.36470079632952,-62.32272972489419,-20.000613471550068,0.569693171821517,2.246401724577443,2.614259786879128,2.796459287552457,2.796459287552457,,,,,2.3379590946043525,3.0978124935211286,3.511561859358219,3.511561859358219,,,,,1.5758325869468681,2.176238522151756,0.442949432254078,0.07730000000000001,1.0091,0.009600000000000011,0.0013508073480000002,0.9994927254644779,1.0054179566563468
1990-07-31,-110.23823885095551,-64.36882808598119,-14.432494144344222,5.624350195128391,3.3356603321293288,2.913300976736928,2.64128915476137,2.44218536063029,,,,,3.874053528803487,3.4972562187252767,3.352980866654135,3.194417582973533,,,,,1.5859447937245044,2.18897307459524,0.4392124466473909,0.0762,1.0098,0.009599999999999997,0.001298437032,1.004885058321664,1.0038491147036182
1990-08-31,-31.11259886708431,-3.967586683326063,25.871148156425903,19.522477706621633,7.155368657879818,5.76208201178491,4.39250840641764,4.240133247606889,,,,,8.539930761112547,7.058334453256272,5.271525202991755,5.066726996140527,,,,,1.6898593114164626,2.2954777943870397,0.48807356293700943,0.0745,1.0175,0.009999999999999995,0.005827787285,1.0014392103427245,1.00920245398773
1990-09-30,-20.554916883217977,26.44122627929173,39.696641824091515,23.10319358345172,6.860045370569971,5.731076625635868,5.117319094509958,5.117319094509958,,,,,7.8553498054352495,6.769886966546647,6.273092057864647,6.273092057864647,,,,,1.7472282569574231,2.3554053943959845,0.5202896659707724,0.0736,1.0177999999999998,0.010800000000000004,0.0019848209779999995,1.0013728768628345,1.0083586626139818
1990-10-31,70.42520848059172,49.932057630526394,47.27447877903366,26.363435365754185,7.55802334784329,7.092876104735524,6.820438528597037,6.820438528597037,,,,,8.525824024906841,8.330397399180319,8.1292901739449,8.1292901739449,,,,,1.7610221609185652,2.35597420763907,0.5224519209115885,0.0717,1.0181,0.0121,0.0044927893589999995,0.999529315827511,1.0060286360211004
1990-11-30,12.584345124935137,56.26800344913319,38.25615092470072,13.964612664612797,4.272186325859256,5.301851283988404,5.152092878727806,5.111874733036389,,,,,4.885776242645948,6.339194935347995,6.335510584375878,6.31130638416964,,,,,1.7098387605044811,2.2915773131721036,0.4985056550700291,0.0706,1.0152,0.013199999999999976,0.002439903771,1.0009098865845167,1.002247191011236
1990-12-31,36.645563390988926,57.57278466314091,26.64839211065546,23.232578534553717,5.557787854448659,5.73051946358212,5.445371680353298,5.445371680353298,,,,,6.781648545477911,7.288126207037586,7.13159483138996,7.13159483138996,,,,,1.6922886589356798,2.26082414686992,0.4844968598832044,0.0674,1.0170000000000001,0.013799999999999993,0.0007945964539999999,0.9981540924885176,1.0
1991-01-31,88.31534355990902,39.66545541342974,22.542604772481134,17.361013070150122,3.7312371391424337,3.698197706657971,3.597562265875245,3.597562265875245,,,,,4.3532416611105855,4.644711859788435,4.615175455735025,4.615175455735025,,,,,1.652271313556283,2.21387744935815,0.46630779969229535,0.0622,1.0214999999999999,0.014100000000000001,0.0031935915849999994,1.0007215596343615,1.005979073243647
