bound,truncation,horizon,date,smean,tight,rbound,rgw,rgwbound,rcombo_gw,rcombo_gwbound,outcome,mkt,zero
lb_cylr,not_truncated,1,1994-12-31,,,,,,,,26.06696912523549,7.753868613138685,
lb_cylr,not_truncated,1,1995-01-31,7.194480520212834,1.1103917688332403,4.352006772073069,-17.128502689253764,-10.624126939916664,5.875357099861272,6.534918810037054,36.23240493304492,7.770692588092344,0.0
lb_cylr,not_truncated,1,1995-02-28,7.545193620409905,0.9850733212789666,4.88174257952272,-29.90793432416649,-28.079419362773578,6.299640002899215,6.922416811654561,36.4383167013651,7.814126213592233,0.0
lb_cylr,not_truncated,1,1995-03-31,8.435382649844083,1.4092442365041895,6.788945785135566,-33.97771546039576,-48.87722780997068,7.405930011907724,7.920656330875904,30.097138990805927,7.83650909090909,0.0
lb_cylr,not_truncated,1,1995-04-30,8.515115380300463,1.1451395647230789,6.699936016777865,-16.10413114835069,-25.524597650969206,7.804495550133778,8.15980546521712,18.70473063085978,7.857675544794188,0.0
lb_cylr,not_truncated,1,1995-05-31,8.681108581662462,1.1519200277950898,7.01020359999416,-19.309647561225802,-24.625295799035456,8.054565229286911,8.367836905474686,21.7230255199631,7.890253929866989,0.0
lb_cylr,not_truncated,1,1995-06-30,8.81055219226333,1.0807187624221015,7.211701842664063,-0.1856935138071094,-5.536661813492662,8.568904353729408,8.68972827299637,28.38279833605082,7.920144927536232,0.0
lb_cylr,not_truncated,1,1995-07-31,9.57039501035951,1.5440123965215011,8.641178491549304,4.411491942908015,-6.766673374484899,9.330824091228623,9.450609550794066,-5.657199385715961,7.9644390832328105,0.0
lb_cylr,not_truncated,1,1995-08-31,8.849179824324542,1.0500747387861664,7.3641460988000125,0.37218586034941836,-4.339653025024396,8.574950748362305,8.712065286343424,38.511241540925226,7.9627951807228925,0.0
lb_cylr,not_truncated,1,1995-09-30,9.419737593169565,1.18442571768118,8.347135861888104,5.595070965585137,-0.3948258671235463,9.420445311115465,9.420091452142515,-5.786061833855438,8.001588447653429,0.0
lb_cylr,not_truncated,1,1995-10-31,9.366591066759806,1.3516530960109134,8.364101613790726,-6.792717870587239,-10.741321130486195,8.889818403160625,9.128204734960216,47.56532738998844,7.970048076923077,0.0
lb_cylr,not_truncated,1,1995-11-30,8.919659057388001,0.3590248534501276,7.403067945760174,-14.147350494453804,-15.867706100676164,10.01999945470616,9.469829256047081,25.36176280541804,8.017527010804322,0.0
lb_cylr,not_truncated,1,1995-12-31,10.085076894313241,1.2928637643467764,9.450954229875313,-2.541610772006379,-7.115597335140961,10.561973106415447,10.323525000364345,25.62260724621277,8.02273381294964,0.0
lb_cylr,not_truncated,1,1996-01-31,10.42557024928786,1.4175580866561233,9.945282593069411,-16.96615780426464,-18.688776402511728,10.408498938460559,10.41703459387421,13.25369654331192,8.045604790419162,0.0
lb_cylr,not_truncated,1,1996-02-29,11.77456384036554,2.7278102216512825,11.949405620566932,-6.647681247637593,-13.169634942077566,10.55969869688313,11.167131268624335,6.49763030320516,8.055071770334928,0.0
lb_cylr,not_truncated,1,1996-03-31,12.164146280939692,3.188702574889763,12.55341057909527,-12.456549322794444,-15.549656392183628,10.433724846544468,11.29893556374208,12.39223122227191,8.055913978494624,0.0
lb_cylr,not_truncated,1,1996-04-30,11.363756376956513,2.385271538355489,11.364750744999132,-7.375599127561372,-8.015027573860598,10.406094662046286,10.8849255195014,30.309186484105144,8.07579952267303,0.0
lb_cylr,not_truncated,1,1996-05-31,11.755589807622158,2.527822993927075,11.82448481447125,-4.164956356012681,-3.0102873537936645,10.88970996982723,11.322649888724694,9.204428117279306,8.099928486293207,0.0
lb_cylr,not_truncated,1,1996-06-30,10.972452034240128,1.7778171905494942,10.684115680246716,0.5620075800571271,1.6661602094374728,10.92303890924454,10.947745471742333,-67.09493514422982,8.074,0.0
lb_cylr,not_truncated,1,1996-07-31,11.779047285039987,3.585276379534867,12.5942719578028,-16.64619078607052,-16.859481313061593,9.588897510170344,10.683972397605165,31.043352715354988,7.979215219976219,0.0
lb_cylr,not_truncated,1,1996-08-31,11.319115606047871,2.88149273307041,11.694932675263203,-4.600831505973247,-4.2638528574889225,9.761996935687916,10.540556270867894,64.80518799433072,8.009216152019002,0.0
lb_cylr,not_truncated,1,1996-09-30,11.830816481705757,2.72461770387476,12.116945568038167,0.10613812448650606,1.378941858517015,10.5558504052248,11.193333443465278,21.25747083627081,8.07103202846975,0.0
lb_cylr,not_truncated,1,1996-10-31,12.33337050174302,3.1107932750902325,12.96387448836627,6.035398122809795,8.54780796557836,10.831726221566226,11.582548361654624,85.72645922230598,8.073696682464455,0.0
lb_cylr,not_truncated,1,1996-11-30,12.928412966895195,2.8107980729184687,13.370471312820008,11.766207093382036,16.792779121600514,12.642089410430133,12.785251188662663,-29.22761804787757,8.152899408284023,0.0
