permno,secid,sp_beg,sp_end,lnk_beg,lnk_end
89565.0,103199.0,2015-09-21,2015-12-11,2002-11-19,2015-12-11
89617.0,104415.0,2015-03-23,2020-12-31,2002-12-31,2030-12-31
89626.0,116532.0,2006-08-11,2020-12-31,2002-12-06,2030-12-31
89641.0,116539.0,2012-07-02,2020-12-31,2002-12-11,2030-12-31
89757.0,117073.0,2005-03-28,2012-09-04,2003-06-10,2018-10-23
89813.0,117627.0,2003-08-20,2012-04-03,2003-08-20,2012-03-30
89866.0,117833.0,2016-05-23,2020-12-31,2003-10-03,2030-12-31
89954.0,119891.0,2006-12-04,2015-07-28,2003-12-23,2015-07-24
90038.0,120322.0,2007-04-10,2020-12-31,2004-02-05,2030-12-31
90071.0,119846.0,2010-01-29,2020-12-31,2004-03-25,2030-12-31
90110.0,121383.0,2004-05-03,2015-09-02,2004-05-03,2015-09-02
90162.0,121535.0,2005-12-02,2015-11-17,2004-05-25,2030-12-31
90199.0,121568.0,2006-11-10,2020-12-31,2004-06-10,2030-12-31
90215.0,121592.0,2008-09-15,2020-12-31,2004-06-23,2030-12-31
90248.0,121706.0,2020-05-12,2020-12-31,2004-07-13,2030-12-31
90272.0,121673.0,2018-09-17,2020-01-27,2004-07-01,2030-12-31
90305.0,121804.0,2016-01-19,2020-12-31,2004-08-12,2030-12-31
90319.0,121812.0,2006-04-03,2020-12-31,2004-08-19,2030-12-31
90352.0,104019.0,2000-10-03,2009-12-18,2000-02-02,2018-04-06
90373.0,122122.0,2016-05-18,2020-12-31,2004-10-29,2030-12-31
90386.0,105914.0,2011-09-26,2020-12-31,2004-10-25,2030-12-31
90435.0,122434.0,2004-12-03,2006-12-01,2004-12-03,2006-12-01
90441.0,122337.0,2004-12-20,2019-03-19,2004-11-12,2019-03-18
90442.0,122338.0,2015-09-21,2019-03-19,2004-11-12,2019-03-18
90454.0,122344.0,2019-07-01,2020-12-31,2004-11-05,2030-12-31
90505.0,122563.0,2019-10-03,2020-12-31,2004-12-15,2030-12-31
